herkunftsgebiet_wegzugsgebiet;deutschland_ohne_baden_wuerttemberg;baden_wuertemberg;121_albanien;122_bosnien_und_herzegowina;124_belgien;125_bulgarien;126_daenemark;127_estland;128_finnland;129_frankreich;130_kroatien;131_slowenien;134_griechenland;135_irland;137_italien;144_nordmazedonien_seit_2019_vorher_ehem_jugosl_rep_mazedonien;148_niederlande;149_norwegen;150_kosovo_republik;151_oesterreich;152_polen;153_portugal;154_rumaenien;155_slowakei;157_schweden;158_schweiz;160_russische_foederation;161_spanien;163_tuerkei;164_tschechien;165_ungarn;166_ukraine;168_grossbritannien;170_serbien_republik;252_marokko;263_suedafrika;323_argentinien;327_brasilien;332_chile;348_kanada;353_mexiko;368_usa;432_vietnam;436_indien;437_indonesien;441_israel;442_japan;465_taiwan;467_korea_republik;474_singapur;475_syrien;476_thailand;479_china;523_australien;536_neuseeland;sonstige_staaten;unbekannt_ohne_angaben;quelle
Kontinent;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Europa;Afrika;Afrika;Amerika;Amerika;Amerika;Amerika;Amerika;Amerika;Asien;Asien;Asien;Asien;Asien;Asien;Asien;Asien;Asien;Asien;Asien;Australien Ozeanien;Australien Ozeanien;.;.;Stadt Konstanz - Eigene Einwohnerfortschreibung
2023_ Zuzug;1737;4482;31;17;9;37;1;5;9;64;50;14;16;12;161;56;27;13;35;41;52;27;91;6;20;219;26;84;106;50;56;529;37;20;5;5;5;18;16;10;14;73;17;47;6;10;8;29;27;10;9;6;83;8;1;219;18;Stadt Konstanz - Eigene Einwohnerfortschreibung
2023_ Wegzug;1588;4069;2;32;12;39;7;4;14;66;57;10;21;15;170;30;33;12;10;91;35;20;102;8;16;813;4;100;67;30;45;290;69;15;5;4;-;13;10;20;16;83;2;26;2;12;12;21;33;11;12;13;48;13;3;180;193;Stadt Konstanz - Eigene Einwohnerfortschreibung
2022_ Zuzug;1705;4577;39;16;12;34;8;6;16;73;37;3;24;15;184;37;29;18;28;44;41;21;91;11;20;217;37;92;113;36;55;1478;53;16;13;3;5;19;5;10;24;71;14;57;15;15;13;21;34;4;12;10;57;19;3;255;20;Stadt Konstanz - Eigene Einwohnerfortschreibung
2022_ Wegzug;1724;3993;12;8;13;40;13;10;13;64;65;6;22;19;150;22;39;15;8;73;32;16;93;12;19;799;14;103;57;36;48;225;43;15;6;3;3;17;6;2;9;98;3;27;5;16;4;16;22;5;7;9;49;12;1;139;167;Stadt Konstanz - Eigene Einwohnerfortschreibung
2021_ Zuzug;1827;4483;17;13;8;40;3;11;8;80;48;12;6;16;150;22;27;13;49;59;30;9;94;6;6;261;36;103;67;20;38;20;51;17;17;4;4;21;15;12;7;58;16;58;11;15;10;16;11;2;13;5;50;8;nan;177;36;Stadt Konstanz - Eigene Einwohnerfortschreibung
2021_ Wegzug;1748;4070;6;8;8;30;11;4;5;55;43;6;11;9;110;12;19;9;5;65;44;29;59;7;17;697;25;56;50;20;40;20;40;5;3;3;nan;3;9;5;12;40;2;20;5;12;2;14;11;nan;10;3;52;14;5;123;178;Stadt Konstanz - Eigene Einwohnerfortschreibung
2020_ Zuzug;1735;4036;16;10;7;21;12;5;10;60;79;11;20;12;147;37;19;11;13;49;37;20;87;13;10;319;19;72;38;23;45;27;41;21;14;6;7;29;10;15;16;75;13;34;5;14;5;22;27;8;5;5;34;14;7;94;23;Stadt Konstanz - Eigene Einwohnerfortschreibung
2020_ Wegzug;1662;4095;4;3;15;34;10;7;14;68;50;4;18;16;144;7;19;9;7;75;45;14;85;11;23;657;11;78;31;28;55;28;47;15;4;8;5;31;9;14;4;67;6;22;5;14;12;20;30;nan;6;2;55;18;4;113;229;Stadt Konstanz - Eigene Einwohnerfortschreibung
2019_ Zuzug;1863;4677;22;19;12;45;12;5;13;72;80;8;23;20;190;57;21;9;27;69;50;13;133;10;24;297;24;79;63;34;64;52;81;40;18;5;14;38;18;10;15;101;12;53;10;25;9;19;33;6;6;12;95;17;8;155;20;Stadt Konstanz - Eigene Einwohnerfortschreibung
